,episode,step,action,reward,drone_status,terminated,network_has_password,password_list_has_password,target_port_vulnerable
0,0,0,0,-0.05,0,False,True,False,False
1,0,1,0,-0.05,0,False,True,False,False
2,0,2,0,-0.05,0,False,True,False,False
3,0,3,0,5.05,0,False,True,False,False
4,0,4,2,5.05,0,False,True,False,False
5,0,5,3,5.05,0,False,True,False,False
6,0,6,8,2.05,2,True,True,False,False
7,1,0,0,-0.05,0,False,False,True,True
8,1,1,0,5.05,0,False,False,True,True
9,1,2,1,-0.05,0,False,False,True,True
10,1,3,1,10.05,0,False,False,True,True
11,1,4,5,-0.45,0,False,False,True,True
12,1,5,5,15.05,1,False,False,True,True
13,1,6,6,0.15000000000000002,1,False,False,True,True
14,1,7,6,20.05,3,True,False,True,True
15,2,0,0,-0.05,0,False,False,False,False
16,2,1,0,-0.05,0,False,False,False,False
17,2,2,0,-0.05,0,False,False,False,False
18,2,3,0,5.05,0,False,False,False,False
19,2,4,1,10.05,0,False,False,False,False
20,2,5,5,-0.45,0,False,False,False,False
21,2,6,5,15.05,1,False,False,False,False
22,2,7,6,20.05,3,True,False,False,False
23,3,0,0,-0.05,0,False,True,True,True
24,3,1,0,-0.05,0,False,True,True,True
25,3,2,0,-0.05,0,False,True,True,True
26,3,3,0,-0.05,0,False,True,True,True
27,3,4,0,-0.05,0,False,True,True,True
28,3,5,0,-0.05,0,False,True,True,True
29,3,6,0,-0.05,0,False,True,True,True
30,3,7,0,-0.05,0,False,True,True,True
31,3,8,0,-0.05,0,False,True,True,True
32,3,9,0,-0.05,0,False,True,True,True
33,3,10,0,-0.05,0,False,True,True,True
34,3,11,0,-0.05,0,False,True,True,True
35,3,12,0,-0.05,0,False,True,True,True
36,3,13,0,5.05,0,False,True,True,True
37,3,14,2,5.05,0,False,True,True,True
38,3,15,3,5.05,0,False,True,True,True
39,3,16,8,2.05,2,True,True,True,True
40,4,0,0,-0.05,0,False,True,False,False
41,4,1,0,-0.05,0,False,True,False,False
42,4,2,0,-0.05,0,False,True,False,False
43,4,3,0,5.05,0,False,True,False,False
44,4,4,2,5.05,0,False,True,False,False
45,4,5,3,5.05,0,False,True,False,False
46,4,6,8,2.05,2,True,True,False,False
47,5,0,0,-0.05,0,False,True,False,False
48,5,1,0,-0.05,0,False,True,False,False
49,5,2,0,5.05,0,False,True,False,False
50,5,3,2,-0.45,0,False,True,False,False
51,5,4,2,5.05,0,False,True,False,False
52,5,5,3,5.05,0,False,True,False,False
53,5,6,8,2.05,2,True,True,False,False
54,6,0,0,-0.05,0,False,False,False,False
55,6,1,0,5.05,0,False,False,False,False
56,6,2,1,-0.05,0,False,False,False,False
57,6,3,1,-0.05,0,False,False,False,False
58,6,4,1,10.05,0,False,False,False,False
59,6,5,5,15.05,1,False,False,False,False
60,6,6,6,20.05,3,True,False,False,False
61,7,0,0,-0.05,0,False,False,True,True
62,7,1,0,-0.05,0,False,False,True,True
63,7,2,0,-0.05,0,False,False,True,True
64,7,3,0,-0.05,0,False,False,True,True
65,7,4,0,5.05,0,False,False,True,True
66,7,5,1,10.05,0,False,False,True,True
67,7,6,5,-0.45,0,False,False,True,True
68,7,7,5,15.05,1,False,False,True,True
69,7,8,6,0.15000000000000002,1,False,False,True,True
70,7,9,6,20.05,3,True,False,True,True
71,8,0,0,-0.05,0,False,True,True,True
72,8,1,0,-0.05,0,False,True,True,True
73,8,2,0,-0.05,0,False,True,True,True
74,8,3,0,-0.05,0,False,True,True,True
75,8,4,0,-0.05,0,False,True,True,True
76,8,5,0,-0.05,0,False,True,True,True
77,8,6,0,-0.05,0,False,True,True,True
78,8,7,0,-0.05,0,False,True,True,True
79,8,8,0,-0.05,0,False,True,True,True
80,8,9,0,5.05,0,False,True,True,True
81,8,10,2,5.05,0,False,True,True,True
82,8,11,3,5.05,0,False,True,True,True
83,8,12,8,2.05,2,True,True,True,True
84,9,0,0,-0.05,0,False,True,False,False
85,9,1,0,5.05,0,False,True,False,False
86,9,2,2,-0.45,0,False,True,False,False
87,9,3,2,5.05,0,False,True,False,False
88,9,4,3,5.05,0,False,True,False,False
89,9,5,8,2.05,2,True,True,False,False
90,10,0,0,-0.05,0,False,True,False,False
91,10,1,0,-0.05,0,False,True,False,False
92,10,2,0,5.05,0,False,True,False,False
93,10,3,2,5.05,0,False,True,False,False
94,10,4,3,5.05,0,False,True,False,False
95,10,5,8,2.05,2,True,True,False,False
96,11,0,0,-0.05,0,False,True,True,True
97,11,1,0,5.05,0,False,True,True,True
98,11,2,2,5.05,0,False,True,True,True
99,11,3,3,5.05,0,False,True,True,True
100,11,4,8,2.05,2,True,True,True,True
101,12,0,0,-0.05,0,False,True,False,False
102,12,1,0,5.05,0,False,True,False,False
103,12,2,2,5.05,0,False,True,False,False
104,12,3,3,5.05,0,False,True,False,False
105,12,4,8,2.05,2,True,True,False,False
106,13,0,0,-0.05,0,False,False,False,False
107,13,1,0,-0.05,0,False,False,False,False
108,13,2,0,5.05,0,False,False,False,False
109,13,3,1,10.05,0,False,False,False,False
110,13,4,5,15.05,1,False,False,False,False
111,13,5,6,20.05,3,True,False,False,False
112,14,0,0,-0.05,0,False,True,True,True
113,14,1,0,-0.05,0,False,True,True,True
114,14,2,0,5.05,0,False,True,True,True
115,14,3,2,5.05,0,False,True,True,True
116,14,4,3,5.05,0,False,True,True,True
117,14,5,8,2.05,2,True,True,True,True
118,15,0,0,-0.05,0,False,False,True,True
119,15,1,0,5.05,0,False,False,True,True
120,15,2,1,10.05,0,False,False,True,True
121,15,3,5,15.05,1,False,False,True,True
122,15,4,6,20.05,3,True,False,True,True
123,16,0,0,-0.05,0,False,False,True,True
124,16,1,0,-0.05,0,False,False,True,True
125,16,2,0,5.05,0,False,False,True,True
126,16,3,1,10.05,0,False,False,True,True
127,16,4,5,-0.45,0,False,False,True,True
128,16,5,5,15.05,1,False,False,True,True
129,16,6,6,20.05,3,True,False,True,True
130,17,0,0,5.05,0,False,False,False,False
131,17,1,1,10.05,0,False,False,False,False
132,17,2,5,15.05,1,False,False,False,False
133,17,3,6,0.15000000000000002,1,False,False,False,False
134,17,4,6,20.05,3,True,False,False,False
135,18,0,0,-0.05,0,False,True,False,False
136,18,1,0,-0.05,0,False,True,False,False
137,18,2,0,-0.05,0,False,True,False,False
138,18,3,0,-0.05,0,False,True,False,False
139,18,4,0,5.05,0,False,True,False,False
140,18,5,2,-0.45,0,False,True,False,False
141,18,6,2,-0.45,0,False,True,False,False
142,18,7,2,5.05,0,False,True,False,False
143,18,8,3,5.05,0,False,True,False,False
144,18,9,8,2.05,2,True,True,False,False
145,19,0,0,-0.05,0,False,False,False,False
146,19,1,0,-0.05,0,False,False,False,False
147,19,2,0,-0.05,0,False,False,False,False
148,19,3,0,-0.05,0,False,False,False,False
149,19,4,0,5.05,0,False,False,False,False
150,19,5,1,10.05,0,False,False,False,False
151,19,6,5,15.05,1,False,False,False,False
152,19,7,6,0.15000000000000002,1,False,False,False,False
153,19,8,6,20.05,3,True,False,False,False
154,20,0,0,-0.05,0,False,False,True,True
155,20,1,0,-0.05,0,False,False,True,True
156,20,2,0,5.05,0,False,False,True,True
157,20,3,1,10.05,0,False,False,True,True
158,20,4,5,-0.45,0,False,False,True,True
159,20,5,5,15.05,1,False,False,True,True
160,20,6,6,20.05,3,True,False,True,True
161,21,0,0,-0.05,0,False,True,False,False
162,21,1,0,5.05,0,False,True,False,False
163,21,2,2,-0.45,0,False,True,False,False
164,21,3,2,-0.45,0,False,True,False,False
165,21,4,2,5.05,0,False,True,False,False
